ID,Date,Band,Genus,Species,Sex,Age,Time,Site,Mass,Wing_length,Tail_length,Fat_code,Condition
3D6.1D59AEEB98,6/8/21,A00003167,Archilochus,BCHU,F,AHY,11:15:00,SB,3.47,0,NA,-,0
3D6.1D59AEEB93,6/8/21,A00003186,Archilochus,BCHU,M,AHY,11:11:00,SB,2.9,42,NA,0,14.48275862
3D6.1D593E1CB9,6/8/21,NA,Archilochus,BCHU,F,AHY,10:55:00,SB,3.3,45,NA,0,13.63636364
3D6.1D59AEEB59,6/8/21,A00003178,Archilochus,BCHU,F,AHY,10:45:00,SB,3.55,46,NA,0,12.95774648
3D6.1D59AEEB67,6/8/21,A00003177,Archilochus,BCHU,F,AHY,10:45:00,SB,3.68,48,NA,0,13.04347826
3D6.1D59AEEB61,6/8/21,A00003169,Archilochus,BCHU,F,AHY,10:15:00,SB,3.65,46,NA,0,12.60273973
3D6.1D59AEEB4D,6/8/21,NA,Archilochus,BCHU,M,AHY,10:15:00,SB,2.97,44,NA,0,14.81481481
3D6.1D59AEEB89,6/8/21,A00003179,Archilochus,BCHU,F,AHY,10:10:00,SB,3.57,47,NA,0,13.16526611
3D6.1D59AEEB5E,6/8/21,A00003188,Archilochus,BCHU,M,AHY,9:55:00,SB,2.86,41,NA,0,14.33566434
3D6.1D59AEEB51,6/8/21,A00003187,Archilochus,BCHU,M,AHY,9:55:00,SB,3,42,NA,0,14
3D6.1D593E1C7E,6/8/21,NA,Archilochus,BCHU,F,AHY,9:50:00,SB,3.49,46,NA,0,13.18051576
3D6.1D59AEEB95,6/8/21,A00003190,Archilochus,BCHU,M,AHY,9:33:00,SB,2.75,42,NA,0,15.27272727
3D6.1D59AEEAFC,6/8/21,NA,Archilochus,BCHU,M,AHY,9:33:00,SB,2.85,51,NA,0,17.89473684
3D6.1D593E1CB9,6/8/21,NA,Archilochus,BCHU,F,AHY,9:30:00,SB,3.4,47,NA,0,13.82352941
3D6.1D59AEEB7C,6/8/21,A00003189,Archilochus,BCHU,M,AHY,9:17:00,SB,2.76,41,NA,0,14.85507246
3D6.1D59AEEB01,6/8/21,NA,Archilochus,BCHU,M,AHY,9:15:00,SB,2.87,41,NA,-,14.28571429
3D6.1D593E1AE6,6/8/21,NA,Archilochus,BCHU,M,AHY,9:15:00,SB,2.71,43,NA,0,15.86715867
3D6.1D593E1A2B,6/8/21,910070729,Calypte,ANHU,F,AHY,9:15:00,SB,3.89,50,NA,0,12.85347044
