Row,ID,Year,Month,Sex,FreqA1,FreqD1,FreqD2,PropA1,PropD1,PropD2
1,X3D6.00184967E1,2021,1,M,82,0,0,1,0,0
644,X3D6.00184967E1,2021,6,M,998,0,0,1,0,0
672,X3D6.00184967E1,2021,7,M,2501,0,0,1,0,0
852,X3D6.00184967E1,2021,8,M,1954,0,0,1,0,0
326,X3D6.00184967E1,2020,7,M,639,6,0,0.9907,0.0093,0
437,X3D6.00184967E1,2020,8,M,1897,0,0,1,0,0
643,X3D6.00184967E1,2020,10,M,1117,1,0,0.99911,0.00089,0
717,X3D6.00184967E1,2020,11,M,2683,0,0,1,0,0
771,X3D6.00184967E1,2020,12,M,1539,0,0,1,0,0
42,X3D6.00184967E1,2017,10,M,1,0,0,1,0,0
24,X3D6.00184967E2,2021,1,M,12,0,4,0.75,0,0.25
48,X3D6.00184967E2,2021,2,M,12,5,528,0.02202,0.00917,0.96881
178,X3D6.00184967E2,2021,3,M,0,1,0,0,1,0
305,X3D6.00184967E2,2021,4,M,0,0,100,0,0,1
474,X3D6.00184967E2,2021,5,M,0,12,557,0,0.02109,0.97891
844,X3D6.00184967E2,2021,7,M,0,0,35,0,0,1
963,X3D6.00184967E2,2021,8,M,0,9,998,0,0.00894,0.99106
27,X3D6.00184967E2,2020,1,M,23,0,0,1,0,0
54,X3D6.00184967E2,2020,2,M,23,0,0,1,0,0
70,X3D6.00184967E2,2020,3,M,32,0,0,1,0,0
113,X3D6.00184967E2,2020,5,M,92,0,0,1,0,0
274,X3D6.00184967E2,2020,6,M,0,2,0,0,1,0
400,X3D6.00184967E2,2020,7,M,0,8,0,0,1,0
636,X3D6.00184967E2,2020,9,M,0,0,10,0,0,1
10,X3D6.00184967E2,2018,2,M,409,0,0,1,0,0
13,X3D6.00184967E2,2018,3,M,137,0,0,1,0,0
45,X3D6.00184967E2,2018,11,M,1,0,0,1,0,0
40,X3D6.00184967E4,2017,10,F,8,0,0,1,0,0
16,X3D6.00184967F4,2017,7,M,742,0,0,1,0,0
21,X3D6.00184967F5,2017,7,F,2,0,0,1,0,0
24,X3D6.00184967F5,2017,8,F,1,0,0,1,0,0
3,X3D6.00184967FE,2018,1,M,12,0,0,1,0,0
7,X3D6.00184967FE,2018,2,M,464,0,0,1,0,0
12,X3D6.00184967FE,2018,3,M,194,0,0,1,0,0
41,X3D6.00184967FE,2017,10,M,79,0,0,1,0,0
45,X3D6.00184967FE,2017,11,M,27,0,0,1,0,0
50,X3D6.00184967FE,2017,12,M,29,0,0,1,0,0
26,X3D6.0018496801,2017,8,F,10,0,0,1,0,0
32,X3D6.0018496801,2017,9,F,10,0,0,1,0,0
4,X3D6.0018496801,2017,9,F,10,0,0,1,0,0
6,X3D6.0018496802,2018,2,F,12,0,0,1,0,0
15,X3D6.1D593D7826,2018,3,F,246,0,0,1,0,0
29,X3D6.1D593D7826,2018,11,F,11,0,0,1,0,0
53,X3D6.1D593D7826,2018,12,F,2,0,0,1,0,0
18,X3D6.1D593D7828,2018,3,F,240,0,0,1,0,0
26,X3D6.1D593D782C,2018,3,M,8,0,0,1,0,0
1,X3D6.1D593D7832,2019,1,F,4,0,0,1,0,0
48,X3D6.1D593D7832,2018,12,F,63,0,0,1,0,0
56,X3D6.1D593D7836,2021,2,M,7,0,64,0.09859,0,0.90141
273,X3D6.1D593D7836,2021,4,M,1,0,0,1,0,0
17,X3D6.1D593D783E,2018,3,M,29,0,0,1,0,0
31,X3D6.1D593D783E,2018,11,M,5,0,0,1,0,0
46,X3D6.1D593D783E,2018,12,M,80,0,0,1,0,0
22,X3D6.1D593D783F,2018,3,M,60,0,0,1,0,0
27,X3D6.1D593D783F,2018,11,M,44,0,0,1,0,0
50,X3D6.1D593D783F,2018,12,M,7,0,0,1,0,0
25,X3D6.1D593D7853,2018,3,F,114,0,0,1,0,0
80,X3D6.1D593D7857,2021,2,F,545,0,36,0.93804,0,0.06196
145,X3D6.1D593D7857,2021,3,F,484,0,4,0.9918,0,0.0082
227,X3D6.1D593D7857,2021,4,F,8,1,35,0.18182,0.02273,0.79545
806,X3D6.1D593D7857,2021,7,F,0,2,2,0,0.5,0.5
985,X3D6.1D593D7857,2021,8,F,0,1,80,0,0.01235,0.98765
24,X3D6.1D593D7857,2020,1,F,53,0,0,1,0,0
51,X3D6.1D593D7857,2020,2,F,53,0,0,1,0,0
107,X3D6.1D593D7857,2020,5,F,54,7,0,0.88525,0.11475,0
360,X3D6.1D593D7857,2020,7,F,72,1,0,0.9863,0.0137,0
451,X3D6.1D593D7857,2020,8,F,26,0,0,1,0,0
632,X3D6.1D593D7857,2020,9,F,0,0,4,0,0,1
19,X3D6.1D593D7858,2018,3,F,106,0,0,1,0,0
16,X3D6.1D593D785E,2018,3,M,1063,0,0,1,0,0
20,X3D6.1D593D7868,2018,3,M,114,0,0,1,0,0
3,X3D6.1D593D786F,2021,1,M,3,0,1,0.75,0,0.25
86,X3D6.1D593D786F,2021,2,M,31,18,439,0.06352,0.03689,0.89959
13,X3D6.1D593D786F,2020,1,M,3,0,0,1,0,0
40,X3D6.1D593D786F,2020,2,M,3,0,0,1,0,0
3,X3D6.1D593D786F,2019,1,M,6,0,0,1,0,0
24,X3D6.1D593D786F,2018,3,M,55,0,0,1,0,0
43,X3D6.1D593D786F,2018,11,M,2,0,0,1,0,0
47,X3D6.1D593D786F,2018,12,M,8,0,0,1,0,0
45,X3D6.1D593D7872,2021,1,F,0,0,2,0,0,1
65,X3D6.1D593D7872,2021,2,F,39,0,460,0.07816,0,0.92184
159,X3D6.1D593D7872,2021,3,F,18,0,4,0.81818,0,0.18182
218,X3D6.1D593D7872,2021,4,F,193,2,5,0.965,0.01,0.025
321,X3D6.1D593D7872,2021,5,F,1252,3,78,0.93923,0.00225,0.05851
565,X3D6.1D593D7872,2021,6,F,10,0,0,1,0,0
838,X3D6.1D593D7872,2021,7,F,0,0,7,0,0,1
67,X3D6.1D593D7872,2020,3,F,2,0,0,1,0,0
84,X3D6.1D593D7872,2020,5,F,1369,3,0,0.99781,0.00219,0
172,X3D6.1D593D7872,2020,6,F,492,7,0,0.98597,0.01403,0
303,X3D6.1D593D7872,2020,7,F,26,1,0,0.96296,0.03704,0
23,X3D6.1D593D7872,2018,3,F,8,0,0,1,0,0
55,X3D6.1D593D7876,2021,2,M,4,89,131,0.01786,0.39732,0.58482
183,X3D6.1D593D7876,2021,3,M,0,19,0,0,1,0
225,X3D6.1D593D7876,2021,4,M,2,7,8,0.11765,0.41176,0.47059
68,X3D6.1D593D7876,2020,3,M,40,0,0,1,0,0
